,ticker,date,poswords,negwords,daily_filing_count
353,AMGN,2008-02-04,487.0,1174.0,1
354,AMGN,2008-02-05,449.0,437.0,1
355,AMGN,2008-02-27,12277.0,22964.0,1
356,AMGN,2008-03-14,506.0,976.0,1
357,AMGN,2008-04-24,1808.0,3553.0,1
358,AMGN,2008-05-09,13472.0,23028.0,1
359,AMGN,2008-05-23,4220.0,7944.0,1
360,AMGN,2008-05-29,103.0,358.0,1
361,AMGN,2008-07-17,100.0,378.0,1
362,AMGN,2008-07-28,2251.0,4107.0,1
363,AMGN,2008-08-08,11283.0,19591.0,1
364,AMGN,2008-08-18,186.0,835.0,1
365,AMGN,2008-09-16,117.0,393.0,1
366,AMGN,2008-10-03,220.0,610.0,1
367,AMGN,2008-10-22,2474.0,4559.0,1
368,AMGN,2008-10-23,105.0,354.0,1
369,AMGN,2008-11-07,13350.0,23589.0,1
370,AMGN,2008-12-10,637.0,1256.0,1
371,AMGN,2009-01-16,4209.0,8075.0,1
372,AMGN,2009-01-26,2631.0,4989.0,1
373,AMGN,2009-02-05,427.0,423.0,1
374,AMGN,2009-02-10,122.0,394.0,1
375,AMGN,2009-02-27,13000.0,24457.0,1
376,AMGN,2009-03-09,318.0,698.0,1
377,AMGN,2009-04-23,2011.0,4025.0,1
378,AMGN,2009-05-08,8576.0,14549.0,1
379,AMGN,2009-05-11,9680.0,18047.0,1
380,AMGN,2009-07-09,248.0,619.0,1
381,AMGN,2009-07-27,2664.0,4802.0,2
382,AMGN,2009-08-07,11788.0,19101.0,1
383,AMGN,2009-10-05,69.0,302.0,1
384,AMGN,2009-10-07,2293.0,4235.0,1
385,AMGN,2009-10-21,2795.0,4997.0,1
386,AMGN,2009-11-06,11339.0,18610.0,1
387,AMGN,2010-01-25,2847.0,5172.0,1
388,AMGN,2010-01-29,247.0,403.0,1
389,AMGN,2010-03-01,11509.0,21803.0,1
390,AMGN,2010-03-04,270.0,676.0,1
391,AMGN,2010-03-12,4194.0,7626.0,1
392,AMGN,2010-04-21,1773.0,3385.0,1
393,AMGN,2010-04-26,293.0,924.0,1
394,AMGN,2010-05-07,12692.0,20095.0,1
395,AMGN,2010-05-12,436.0,973.0,1
396,AMGN,2010-07-15,264.0,811.0,1
397,AMGN,2010-07-22,291.0,816.0,1
398,AMGN,2010-07-29,2238.0,3883.0,1
399,AMGN,2010-08-09,13589.0,16192.0,1
400,AMGN,2010-09-16,4054.0,7259.0,1
401,AMGN,2010-10-21,1074.0,2029.0,1
402,AMGN,2010-10-25,2227.0,3996.0,1
403,AMGN,2010-11-08,12880.0,16542.0,1
404,AMGN,2010-12-09,319.0,1228.0,1
405,AMGN,2010-12-15,1900.0,3236.0,1
406,AMGN,2011-01-24,2432.0,4399.0,2
407,AMGN,2011-02-25,16420.0,20204.0,1
408,AMGN,2011-03-04,271.0,717.0,1
409,AMGN,2011-04-20,1912.0,3776.0,1
410,AMGN,2011-05-10,17785.0,21414.0,1
411,AMGN,2011-05-20,438.0,1038.0,1
412,AMGN,2011-06-30,4491.0,8512.0,1
413,AMGN,2011-07-29,2486.0,4462.0,1
414,AMGN,2011-08-08,19624.0,19714.0,1
415,AMGN,2011-10-13,172.0,655.0,1
416,AMGN,2011-10-24,2641.0,4625.0,1
417,AMGN,2011-11-04,7702.0,14232.0,1
418,AMGN,2011-11-09,262.0,927.0,1
419,AMGN,2011-11-10,4975.0,9187.0,1
420,AMGN,2011-11-18,91.0,390.0,1
421,AMGN,2011-11-30,95.0,395.0,1
422,AMGN,2011-12-02,9049.0,16286.0,1
423,AMGN,2011-12-05,2804.0,5650.0,1
424,AMGN,2011-12-15,285.0,896.0,1
425,AMGN,2012-01-26,10850.0,16324.0,2
426,AMGN,2012-02-14,264.0,258.0,1
427,AMGN,2012-02-29,11715.0,20000.0,1
428,AMGN,2012-03-01,1025.0,1949.0,1
429,AMGN,2012-03-20,187.0,498.0,1
430,AMGN,2012-04-02,576.0,1314.0,1
431,AMGN,2012-04-24,2043.0,4105.0,1
432,AMGN,2012-04-27,9310.0,17538.0,1
433,AMGN,2012-05-08,9904.0,17031.0,1
434,AMGN,2012-05-15,4563.0,8589.0,1
